lat,long,Timestamp,id,timestamp,start_diff,stop_diff,date,start_vec,stop_vec,Possible_Location,name
36.04802,24.87956,1/7/2014 12:03,26,2014-01-07T12:03:01Z,247.8666667,0,7/1/2014,1,0,GASTech,Onda Marin
36.04802,24.87957,1/9/2014 17:19,2,2014-01-09T17:19:01Z,211.3166667,0,9/1/2014,1,0,GASTech,Azada Lars
36.04802,24.87957,01/15/2014 11:53:21,107,2014-01-15T11:53:21Z,0.016666667,95.95,15/1/2014,0,1,GASTech,
36.04802,24.87957,1/10/2014 14:11,18,2014-01-10T14:11:05Z,0.016666667,185.9333333,10/1/2014,0,1,GASTech,Frente Birgitta
36.04802,24.87957,1/6/2014 12:17,1,2014-01-06T12:17:01Z,252.8666667,0.033333333,6/1/2014,1,0,GASTech,Calixto Nils
36.04802,24.87957,01/13/2014 17:37:01,20,2014-01-13T17:37:01Z,241.7333333,0,13/1/2014,1,0,GASTech,Fusil Stenig
36.04802,24.87957,01/14/2014 12:12:01,6,2014-01-14T12:12:01Z,250.4666667,0,14/1/2014,1,0,GASTech,Bergen Linnea
36.04802,24.87957,1/8/2014 8:22,22,2014-01-08T08:22:12Z,0.016666667,230.8166667,8/1/2014,0,1,GASTech,Nubarron Adra
36.04802,24.87957,1/8/2014 8:22,5,2014-01-08T08:22:31Z,0.016666667,230.5,8/1/2014,0,1,GASTech,Baza Isak
36.04802,24.87957,1/10/2014 12:18,18,2014-01-10T12:18:01Z,267.8666667,0,10/1/2014,1,0,GASTech,Frente Birgitta
36.04802,24.87957,01/16/2014 13:43:16,35,2014-01-16T13:43:16Z,0.016666667,254.75,16/1/2014,0,1,GASTech,Vasco-Pais Willem
36.04802,24.87957,1/6/2014 7:45,26,2014-01-06T07:45:09Z,0.016666667,254.8666667,6/1/2014,0,1,GASTech,Onda Marin
36.04802,24.87957,1/6/2014 7:13,35,2014-01-06T07:13:31Z,0.016666667,308.5,6/1/2014,0,1,GASTech,Vasco-Pais Willem
36.04802,24.87957,01/14/2014 12:32:12,29,2014-01-14T12:32:12Z,289.0166667,0,14/1/2014,1,0,GASTech,Ovan Bertrand
36.04802,24.87957,01/16/2014 13:37:26,19,2014-01-16T13:37:26Z,0.016666667,250.5833333,16/1/2014,0,1,GASTech,Frente Vira
36.04802,24.87957,1/7/2014 14:01,11,2014-01-07T14:01:05Z,0.016666667,203.9333333,7/1/2014,0,1,GASTech,Calzas Axel
36.04802,24.87957,1/8/2014 13:36,5,2014-01-08T13:36:23Z,0.016666667,237.6333333,8/1/2014,0,1,GASTech,Baza Isak
36.04802,24.87957,1/8/2014 13:40,29,2014-01-08T13:40:17Z,0.016666667,225.35,8/1/2014,0,1,GASTech,Ovan Bertrand
36.04802,24.87957,1/8/2014 11:17,15,2014-01-08T11:17:01Z,201.8166667,0,8/1/2014,1,0,GASTech,Bodrogi Loreto
36.04802,24.87957,01/13/2014 17:39:01,30,2014-01-13T17:39:01Z,201.3166667,0,13/1/2014,1,0,GASTech,Resumir Felix
36.04802,24.87957,01/13/2014 17:35:01,21,2014-01-13T17:35:01Z,231.6333333,0,13/1/2014,1,0,GASTech,Osvaldo Hennie
36.04802,24.87957,1/6/2014 7:44,20,2014-01-06T07:44:12Z,0.016666667,248.8166667,6/1/2014,0,1,GASTech,Fusil Stenig
36.04802,24.87957,1/8/2014 13:49,15,2014-01-08T13:49:42Z,0.016666667,227.3166667,8/1/2014,0,1,GASTech,Bodrogi Loreto
